"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","595","cy.exec() - execute a system command","Misc","2026-06-30","passed","2026-06-30","","","",""
"","1230",".as() - alias a route for later use","Aliasing","2026-06-30","passed","2026-06-30","","","",""
"","193",".and() - chain multiple assertions together","Assertions","2026-06-30","passed","2026-06-30","","Implicit Assertions","",""
"","301",".rightclick() - right click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","203","expect - make an assertion about a specified subject","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","144","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","177",".spread() - spread an array as individual args to callback function","Connectors","2026-06-30","passed","2026-06-30","","","",""
"","166","cy.document() - get the document object","Window","2026-06-30","passed","2026-06-30","","","",""
"","757","best practices - selecting elements","Querying","2026-06-30","passed","2026-06-30","","","",""
"","561",".each() - iterate over an array of elements","Connectors","2026-06-30","passed","2026-06-30","","","",""
"","177",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","161",".within() - query DOM elements within a specific element","Querying","2026-06-30","passed","2026-06-30","","","",""
"","237",".trigger() - trigger an event on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","2545","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","313","Cypress.$ - call a jQuery method","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","56","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","171",".next() - get next sibling DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","548",".as() - alias a DOM element for later use","Aliasing","2026-06-30","passed","2026-06-30","","","",""
"","173",".eq() - get a DOM element at a specific index","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","230",".scrollIntoView() - scroll an element into view","Actions","2026-06-30","passed","2026-06-30","","","",""
"","484","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","171",".siblings() - get all sibling DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
