"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85",".within() - query DOM elements within a specific element","Querying","2026-06-30","passed","2026-06-30","","","",""
"","148","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","80",".spread() - spread an array as individual args to callback function","Connectors","2026-06-30","passed","2026-06-30","","","",""
"","160","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","603",".as() - alias a route for later use","Aliasing","2026-06-30","passed","2026-06-30","","","",""
"","80","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","77",".parents() - get parent DOM elements from DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","81",".last() - get last DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","755",".check() - check a checkbox or radio element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","2537","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","76",".parent() - get parent DOM element from DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","73",".prev() - get previous sibling DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","343",".should() - make an assertion about the current subject","Assertions","2026-06-30","passed","2026-06-30","","Implicit Assertions","",""
"","19","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","127","expect - make an assertion about a specified subject","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","118","cy.contains() - query DOM elements with matching content","Querying","2026-06-30","passed","2026-06-30","","","",""
"","104","can throw any error","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","1069","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","74","Get CPU architecture name of underlying OS","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.arch","",""
"","171",".dblclick() - double click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","70","Get current version of Cypress being run","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.version","",""
"","301","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","73","Get current spec information","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.spec","",""
"","75",".not() - remove DOM elements from set of DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","165","cy.window() - get the global window object","Window","2026-06-30","passed","2026-06-30","","","",""
"","74",".nextAll() - get all next sibling DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","93","cy.setCookie() - set a browser cookie","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","345",".as() - alias a DOM element for later use","Aliasing","2026-06-30","passed","2026-06-30","","","",""
"","235","can filter for uncompleted tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
